Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,month
24/10/2018,1492,16,12.023117276756675,42.0,1.3,1976,5.0,1.22,0.0,0.0,Autumn,No Holiday,Yes,10
01/05/2018,1536,14,23.0,64.0,2.8,520,15.8,1.59,0.0,0.0,Spring,Holiday,Yes,5
14/11/2018,327,2,6.2,59.0,0.6,1584,-1.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,11
31/08/2018,170,4,23.2,83.0,1.6,1102,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes,8
26/06/2018,45,5,23.7,64.0,0.9,876,16.4,0.0,0.1,0.0,Summer,No Holiday,Yes,6
12/08/2018,1127,22,28.8,79.0,0.2,1604,24.7,0.0,0.0,0.0,Summer,No Holiday,Yes,8
04/07/2018,941,11,24.60365540651308,60.0,2.3,1861,21.3,2.61,0.0,0.0,Summer,No Holiday,Yes,7
02/09/2018,255,4,21.1,62.0,1.8,2000,13.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,9
10/09/2018,332,2,20.0,59.0,1.5,2000,11.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,9
17/10/2018,2202,8,9.2,68.0,0.2,952,3.5,0.28,0.0,0.0,Autumn,No Holiday,Yes,10
21/03/2018,374,10,3.6,37.0,1.6666666666666667,2000,-9.7,0.83,0.0,0.0,Spring,No Holiday,Yes,3
24/05/2018,1390,7,-1.4332185866746645,61.0,1.3,1818,5.1,0.42,0.0,0.0,Spring,No Holiday,Yes,5
25/02/2018,396,12,5.5,25.0,3.1,1652,-13.0,2.28,0.0,0.0,Winter,No Holiday,Yes,2
16/04/2018,2692,18,17.0,28.0,3.1,2000,-1.6,0.88,0.0,0.0,Spring,No Holiday,Yes,4
28/07/2018,248,5,28.1,84.0,0.5,754,25.1,0.0,0.0,0.0,Summer,No Holiday,Yes,7
01/04/2018,169,7,12.5,62.0,0.4,1003,5.4,0.0,0.0,0.0,Spring,No Holiday,Yes,4
